3256212126, 2018-10-02T17:46:12.000Z, 5, 0, 0, 2.3.2, Herlig, Det er nemt, 1neets
3254330250, 2018-10-02T06:14:39.000Z, 1, 0, 0, 2.3.2, Super dårlig app, Man kan ikke skifte mellem apps uden at den giver teknisk fejl. Man kan ikke sende beskeder til banken uden at skifte app til “nem” ID appen. Dvs ubrugelig som altid., Super4217
3248729624, 2018-09-30T18:13:36.000Z, 1, 0, 0, 2.3.2, Mest ustabile app, Har aldrig oplevet en app der så ofte ikke fungere pga teknisk fejl., Kc-89
3243400024, 2018-09-29T11:48:02.000Z, 5, 0, 0, 2.3.1, Hurtig betaling, Tak for en hurtig nem betaling . Hilsen Nawal, tolk nawal
3231832187, 2018-09-26T11:18:34.000Z, 1, 0, 0, 2.3.1, Alt for mange fejl, Det er alt for tit at der meldes systemfejl hvor man så ikke kan få adgang til banken., MADDOLLA
3228593681, 2018-09-25T13:20:04.000Z, 2, 0, 0, 2.3.1, ved lock in..., Hvor er det irriterende at skulle locke in via NEM-ID når der arbejdes på iPad’en. Vi er i 2018 og funktionen Finger-Touch-ID er opfundet....og det virker med iPhone så hvorfor ikke på iPad ?, DK'er
3228491504, 2018-09-25T12:46:58.000Z, 5, 0, 0, 2.3.1, Nordea handler hurtigt, Telefonopkald Nordea giver hurtigt og effektivt gevinst uden omveje. Dette er en fordel for alle ikke brugere af IT, vonjanesdesign
3227661308, 2018-09-25T07:51:29.000Z, 5, 0, 0, 2.3.1, Super convenient, Still basic but it’s easy to use., Nteulon
3222615318, 2018-09-23T20:36:45.000Z, 1, 0, 0, 2.3.1, ingen touch id på nyere iPad, What is the difference between one iPhone and iPad when both have touch-id built in? No difference actually but I still cannot use my finger to log on iPad. I don't understand why update: after developer answered for this review last year I’m still waiting for the Touch ID feature. Edit: a year after and nothing happens, denmarkguy
3220567156, 2018-09-23T09:01:33.000Z, 3, 0, 0, 2.3.1, Fint men kan blive bedre, Jeg synes at i fremtiden skal i arbejde mere for at nå det niveau som andre online betalinger har nået. Fx. Hvis man betaler med mobilepay lige meget hvor/hvordan osv. Får man en kvittering på selve mobilepay appen og det synes jeg er super smart hvis man glemmer at bede om en kvittering fra buttiken. Så jeg synes at i skal lave noget aftale med nets og bygge en app hvor man samler alle kvitteringer hvis man har nordea kort og appen. Det kan sagtens laves men om i vil gøre det eller ej er noget andet., carnews
3210035467, 2018-09-20T13:09:10.000Z, 1, 0, 0, 2.3.1, Dårlig app, Im so sorry guys men appen er så elendig på så mange punkter. Nedenfor er nogle få eksempler; 1. Man kan ikke fjerne/gemme ens fremtidige betalinger når man kommer ind på sin kontooversigt det er sygt irriterende da man får et kæmpe chok over at være så meget i minus indtil man opdater de bare er ens faste udgifter som først skal betales næste første. De faste udgifter som man betaler hver evig eneste måned og som sjovt nok ikke er en overraskelse. 2. Har skrevet dette før: man kan ikke se hvad kontoens balance var mellem beløb det er sygt frustrerende. Konto oversigten viser i virkeligheden kun hvad der går ind og ud men ikke hvad de beløb gør ved den totale balance efter/mellem hver aktivitet.  3 man kan ikke trykke på de individuelle bevægelser på kontoen os se hvad de er? Det er man nødt til at ligge ind på netbank for at se hvad er så meningen med appen hvis man alligevel skal på en computer?, Ninavle
3208625664, 2018-09-20T04:30:21.000Z, 3, 0, 0, 2.3.1, Ikke god nok, For ustabil Ofte problemer med login, bivka
3200461832, 2018-09-17T19:15:42.000Z, 4, 0, 0, 2.3.1, Fin mobilbank men med plads til forbedringer, Overordnet er jeg tilfreds med mobilbanken og i øvrigt super fed feature i har fået med i den seneste opdatering (se kode(r) til kort)  Noget jeg savner (er ikke alene om det) som de fleste andre banker har er forbrugsoverblik (kategorisering af posteringer grafisk) - udemærket klar over det er muligt på Jeres Wallet app men burde også være en mulighed på mobilbanken.  Kan se at den finske Nordea har den opdateret mobilbank som jeg efterspørger :), Mark V H
3200267009, 2018-09-17T17:38:49.000Z, 2, 0, 0, 2.3.1, Nordea, Dårligt design Ikke særlig brugervenlig, KareDup
3160435301, 2018-09-06T16:31:49.000Z, 5, 0, 0, 2.3.0, Hurtigt og nemt, Kan godt lig at det går så hurigt at komme en, 124467743
3158920713, 2018-09-06T08:39:16.000Z, 3, 0, 0, 2.3.0, Søgning, Man skal kunne søge i sine posteringer?, Lillelund Boisen
3154939077, 2018-09-05T06:59:49.000Z, 1, 0, 0, 2.3.0, Mangler så meget !!!, Virkelig dårlig netbank. Kun nem når du skal overfør mellem dine egne konti.  De burde tage at få noget hjælp til at opgradere den.  Hvorfor ikke skrive hvad der stå tilbage på konto når fremtidig betalinger er betalt. Der bare en af manglerne., MLeonora
3151775042, 2018-09-04T10:00:18.000Z, 1, 0, 0, 2.3.0, For Dyrt, Det er simpelthen for dyrt at gennemfører betalinger gennem Netbank !!!, Max DK.dk
3151607410, 2018-09-04T09:10:05.000Z, 3, 0, 0, 2.3.0, Anmeldelse, Virker meget godt synes dog ofte jeres platform/netbank er nede., Christian_arsenal92
3149411822, 2018-09-03T17:39:26.000Z, 5, 0, 0, 2.3.0, God app, Bedste bank i Danmark :), david edmond
3146938321, 2018-09-03T03:23:50.000Z, 5, 0, 0, 2.3.0, Bedømmelse, Helt ok., hans_23_olsen
3136492804, 2018-08-31T10:02:35.000Z, 3, 0, 0, 2.3.0, Why NOT, Tnx for information and Working hard to tje People’s, soha420
3136170305, 2018-08-31T08:23:22.000Z, 5, 0, 0, 2.3.0, Fungere rigtig godt, Overskueligt flot design., 23 år fyr
3135752243, 2018-08-31T06:04:24.000Z, 2, 0, 0, 2.3.0, Ustabil og chrasher, Appen er ustabil og chrasher, Frydendal-Oesten
3133792790, 2018-08-30T17:08:49.000Z, 4, 0, 0, 2.3.0, Ingen Touch ID på Ipad, Fungere fint men hvad kan mon årsagen være at der ikke er Touch ID på Ipad app når der er på Iphone?, amp9999
3129683693, 2018-08-29T16:28:44.000Z, 4, 0, 0, 2.3.0, God men med plads til forbedring., Jeg er virkelig glad for Nordeas App men jeg savner muligheden for at kunne tilgå samme info på PBS betalinger efter betalingen er sket som før betalingen. Jeg savner også muligheden for at søge på eksempelvis dato firmanavne butikker og beløb så man lynhurtigt kan finde en betaling istedet for at skulle scrolle igennem alle betalinger dag for dag. Ellers rigtig godt arbejde., Craciez
3125793179, 2018-08-28T18:46:44.000Z, 1, 0, 0, 2.2.3, Mangler, Syntes det er ærgerligt at man ikke løbende kan de saldoen på kontoen pr postering som på andre mobilbanker. Mangler generelt finish i udtrykket., Bycamiu
